Species,Fire exposure (%),Metal exposure (%)
Casearia_acuminata,0.17,1.12
Casearia_arborea,3.19,21.37
Casearia_fasciculata,0.95,4.52
Casearia_grandiflora,4.82,11.74
Casearia_javitensis,3.02,17.44
Casearia_manausensis,0.56,3.85
Casearia_mariquitensis,2.49,21.86
Casearia_negrensis,2.31,12.28
Casearia_nigricans,0.91,2.35
Casearia_rusbyana,2.96,7.95
Casearia_spinescens,0.94,5.48
Casearia_sylvestris,2.85,16.82
Casearia_uleana,1.22,3.81
Casearia_ulmifolia,3.35,10.59
Casearia_zizyphoides,0.74,6.8
Casimirella_ampla,2.85,8.6
Casimirella_rupestris,2.06,2.18
Cassia_fastuosa,4.33,11.09
Cassia_grandis,2.99,14.95
Cassia_leiandra,3.96,14.04
Cassia_midas,16.83,0
Cassia_moschata,2.24,4.64
Cassipourea_peruviana,1.45,5.15
Castelnavia_multipartita,13.3,6.2
Catasetum_barbatum,3.16,1.59
Catasetum_boyi,6.51,0.01
Catasetum_cristatum,0,0.01
Catasetum_gnomus,0.31,0
Catasetum_hopkinsonianum,13.06,1.15
Catasetum_incurvum,2.79,0
Catasetum_kraenzlinianum,27.26,0.01
Catasetum_macrocarpum,4.34,2.03
Catasetum_matogrossense,6.51,5.09
Catasetum_osculatum,12.73,3.46
Catasetum_planiceps,1.99,1.06
Catasetum_tenebrosum,2.75,0
Catasetum_tigrinum,3.54,3.07
Catostemma_cavalcantei,0.28,0.65
Catostemma_ebracteolatum,0.3,1.01
Catostemma_hirsutulum,0.15,0.38
Catostemma_milanezii,0.32,0.28
Cattleya_luteola,2.65,2.29
Cattleya_violacea,3.12,7.46
Cattleya_wallisii,0.91,0
Cayaponia_angustiloba,0.78,0.03
Cayaponia_botryocarpa,0.48,4.38
Cayaponia_coriacea,3.82,6.32
Cayaponia_duckei,5.14,0.89
Cayaponia_ferruginea,8.49,1.76
Cayaponia_macrocalyx,1.27,6.4
Cayaponia_oppositifolia,0.69,4.96
